id,name,code,barcode,producerid
8393,Total Result Unbreak My Blonde Шампунь 1л,total_result_unbreak_my_blonde_shampun_1l_9351060100,3474636973682,10427
2941,Total Results High Amplify Шампунь 1л,total_results_high_amplify_shampun_1l_0391068616,3474630740297,10427
34554,Biolage Strength Recovery Шампунь 1000 мл,biolage_strength_recovery_shampun_1000_ml_9351060477,3474637103569,12826
8305,Inoa Post Шампунь 1500 мл,inoa_post_shampun_1500_ml_0391065851,3474630283626,10437
5066,Total Results So Long Damage Кондиционер 1л,total_results_so_long_damage_kondicioner_1l_0391068985,3474630741256,10427
7461,Шампунь-ванна Ultra-Violet 1000мл,shampun_vanna_ultra_violet_1000ml_0391061480,3474636692316,10419
1767,Serioxyl шампунь д/нат 1000 мл,serioxyl_shampun_d_nat_1000_ml_0391066810,3474636645770,10437
34297,Serie Expert Scalp Advanced Anti-Dandruff Шампунь 1500 мл,serie_expert_scalp_advanced_anti_dandruff_shampun_1500_ml_0391069570,3474637109424,10437
6001,Шампунь-Ванна Therapiste 450мл,shampun_vanna_therapiste_450ml_0391060141,3474630712706,10419
3901,Total Results Moisture Me Rich Шампунь 1л,total_results_moisture_me_rich_shampun_1l_0391068628,3474636265565,10427
6926,Ревитализирующий Шампунь-Ванна REGENERANT 1000мл,revitaliziruyushhij_shampun_vanna_regenerant_1000ml_0391060017,3474636728282,10419
8256,Total Results Color Obsessed So Silver Шампунь 1л,total_results_color_obsessed_so_silver_shampun_1l_0391068602,3474630741683,10427
16237,Extreme Bleach Recovery Шампунь 1л,extreme_bleach_recovery_shampun_1l_9391000110,3474636940493,10435
37205,Total Results A Curl Can Dream Шампунь 1л,total_results_a_curl_can_dream_shampun_1l_9351060631,3474637188313,10427
17004,Total Results So Long Damage Шампунь 1л,total_results_so_long_damage_shampun_1l_0391068634,3474630741171,10427
8881,Serie Expert Volumetry Шампунь 1500 мл,serie_expert_volumetry_shampun_1500_ml_0391069310,3474636975556,10437
25436,Serie Expert Liss Unlimited Шампунь 1500 мл,serie_expert_liss_unlimited_shampun_1500_ml_0391069316,3474636975655,10437
27846,Biolage KeratinDose Шампунь 1л,biolage_keratindose_shampun_1l_0391068428,3474630736511,12826
34249,Serie Expert Blondifier Gloss Шампунь 1500 мл (рефилл),serie_expert_blondifier_gloss_shampun_1500_ml_refill__0391069556,3474637090791,10437
7589,Serie Expert Blondifier Gloss Шампунь 1500 мл,serie_expert_blondifier_gloss_shampun_1500_ml_0391069317,3474636975662,10437
7550,Serie Expert Inforcer Шампунь 1500мл,serie_expert_inforcer_shampun_1500ml_0391069351,3474636975266,10437
